STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",6/8/2016,7.61,0.45,0,0,,67,52,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/9/2016,8.95,0,0,0,,71,54,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/10/2016,5.37,0,0,0,,77,57,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/11/2016,3.36,0,0,0,,88,59,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/12/2016,8.05,0,0,0,,83,62,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/13/2016,7.38,0,0,0,,74,57,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/14/2016,4.25,0,0,0,,79,58,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/15/2016,2.46,0,0,0,,85,62,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/16/2016,1.79,0.22,0,0,,74,65,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/17/2016,4.7,0,0,0,,78,63,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/18/2016,2.68,0,0,0,,87,61,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/19/2016,2.91,0,0,0,,88,66,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/20/2016,3.13,0,0,0,,84,64,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/21/2016,4.92,0,0,0,,87,72,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/22/2016,4.03,0,0,0,,86,68,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/23/2016,2.01,0,0,0,,83,69,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/24/2016,6.26,0,0,0,,84,67,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/25/2016,3.58,0,0,0,,86,64,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/26/2016,2.46,0,0,0,,87,67,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/27/2016,4.92,0.45,0,0,,83,67,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/28/2016,3.58,0.12,0,0,,76,68,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",6/29/2016,2.24,0.01,0,0,,83,67,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/30/2016,2.91,0,0,0,,85,67,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/1/2016,3.36,0.83,0,0,,79,66,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/2/2016,5.37,0,0,0,,76,63,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/3/2016,3.13,0,0,0,,78,64,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/4/2016,3.13,0.49,0,0,,84,66,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/5/2016,2.91,0.66,0,0,,86,69,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/6/2016,2.46,0,0,0,,91,75,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/7/2016,2.01,0.04,0,0,,89,77,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/8/2016,5.37,0.08,0,0,,86,67,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/9/2016,4.03,0.53,0,0,,72,65,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/10/2016,4.25,0,0,0,,80,66,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/11/2016,3.36,0,0,0,,81,65,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/12/2016,4.25,0,0,0,,82,68,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/13/2016,4.7,0,0,0,,85,71,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/14/2016,2.91,0.62,0,0,,88,73,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/15/2016,4.47,0,0,0,,88,79,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/16/2016,4.25,0,0,0,,90,75,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/17/2016,2.68,0,0,0,,89,75,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/18/2016,5.82,0.35,0,0,,93,72,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/19/2016,4.92,0,0,0,,83,73,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/20/2016,3.13,0,0,0,,85,68,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/21/2016,5.14,0,0,0,,90,71,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/22/2016,6.49,0,0,0,,94,74,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/23/2016,4.92,0,0,0,,96,80,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/24/2016,4.03,0,0,0,,94,75,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/25/2016,3.36,1,0,0,,93,73,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/26/2016,4.25,0,0,0,,89,72,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/27/2016,2.01,0,0,0,,91,74,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/28/2016,3.13,0,0,0,,95,75,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/29/2016,4.25,1.09,0,0,,85,69,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/30/2016,3.58,0.25,0,0,,84,73,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",7/31/2016,4.25,1.08,0,0,,78,71,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/1/2016,4.92,0,0,0,,80,69,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/2/2016,6.93,0,0,0,,79,68,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/3/2016,2.91,0,0,0,,80,66,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/4/2016,2.01,0,0,0,,81,67,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/5/2016,3.8,0,0,0,,83,69,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/6/2016,5.14,0.05,0,0,,87,72,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/7/2016,4.03,0,0,0,,86,70,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/8/2016,1.34,0,0,0,,86,71,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/9/2016,2.68,0,0,0,,87,71,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/10/2016,4.03,0.09,0,0,,86,75,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/11/2016,4.47,0.15,0,0,,91,74,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/12/2016,5.14,0.32,0,0,,93,73,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/13/2016,4.03,0,0,0,,96,81,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/14/2016,3.8,0.06,0,0,,94,78,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/15/2016,2.91,0,0,0,,92,77,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/16/2016,4.03,0.11,0,0,,87,78,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/17/2016,5.37,0.01,0,0,,85,77,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/18/2016,1.57,0.03,0,0,,85,72,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/19/2016,2.24,0.01,0,0,,88,74,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/20/2016,4.7,0.82,0,0,,83,70,1,1,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/21/2016,4.25,0.31,0,0,,86,73,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",8/22/2016,5.82,0,0,0,,79,65,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/23/2016,1.79,0,0,0,,82,61,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/24/2016,,0,0,0,,88,68,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/25/2016,,0.01,0,0,,86,69,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/26/2016,,0,0,0,,90,75,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/27/2016,2.68,0,0,0,,89,73,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/28/2016,2.46,0,0,0,,89,72,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/29/2016,5.37,0,0,0,,91,74,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/30/2016,3.13,0,0,0,,86,69,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/31/2016,3.36,0,0,0,,89,74,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",9/1/2016,1.79,0.5,0,0,,79,69,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",9/2/2016,6.04,0,0,0,,81,66,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/3/2016,6.71,0,0,0,,75,66,,,,,,
