Country,Year,HappinessScore,LifeLadder,LogGDP,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment
Comoros,2018,3.973,3.97281956672668,7.26014232635498,0.621302962303162,57.2000007629395,0.560182332992554,0.136247515678406,0.79375833272934,0.74774158000946,0.337493658065796,0.317273706197739
Congo (Brazzaville),2018,4.812,5.49021434783936,8.47327899932861,0.620622932910919,57.9000015258789,0.698700070381165,-0.12450098246336,0.738020181655884,0.587506592273712,0.447646170854569,0.473673611879349
Costa Rica,2018,7.167,7.14107465744019,9.66942596435547,0.875872433185577,71.3000030517578,0.941888332366943,-0.104196012020111,0.78130179643631,0.870097815990448,0.325866639614105,0.479977786540985
Croatia,2018,5.432,5.53627109527588,10.0657510757446,0.909806847572327,70.1999969482422,0.690855622291565,-0.152529239654541,0.92540830373764,0.582044124603272,0.290375977754593,0.248180910944939
Cyprus,2018,6.046,6.27644300460815,,0.825573205947876,73.6999969482422,0.794215023517609,,0.848337233066559,0.750122487545013,0.298021137714386,0.352440446615219
Czech Republic,2018,6.852,7.03416538238525,10.4194736480713,0.929163932800293,70.3000030517578,0.790132403373718,-0.294359624385834,0.851382255554199,0.713700115680695,0.178068101406097,0.420783311128616
Denmark,2018,7.6,7.64878559112549,10.75559425354,0.95821887254715,72.4000015258789,0.935437798500061,0.01559285260737,0.15060743689537,0.821422636508942,0.20605280995369,0.632478475570679
Dominican Republic,2018,5.425,5.43321561813355,9.62699794769287,0.861986339092255,65.8000030517578,0.866641581058502,-0.15095129609108,0.762273550033569,0.744871854782105,0.291403025388718,0.421771019697189
Ecuador,2018,6.028,6.12801027297974,9.27445507049561,0.851345002651215,68.5,0.869363725185394,-0.104021087288857,0.830743193626404,0.876474916934967,0.328171044588089,0.402085185050964
Egypt,2018,4.166,4.00545072555542,9.29395961761475,0.758824050426483,61.7000007629395,0.681654453277588,-0.222929537296295,,0.492260754108429,0.285183787345886,
El Salvador,2018,6.253,6.27624607086182,8.91195869445801,0.823999166488647,66.0999984741211,0.863207280635834,-0.09678690880537,0.826600015163422,0.871536493301392,0.265370607376099,0.323992043733597
Estonia,2018,5.893,6.09130239486694,10.324107170105,0.932693779468536,68.5999984741211,0.885618388652802,-0.144664913415909,0.620677947998047,0.794730246067047,0.163182109594345,0.42020258307457
Ethiopia,2018,4.286,4.37926244735718,7.52451658248901,0.740154504776001,58.5,0.74034309387207,0.043273504823446,0.799466252326965,0.659520864486694,0.271753966808319,0.875270962715149
Finland,2018,7.769,7.85810708999634,10.6360597610474,0.962155044078827,71.9000015258789,0.937807381153107,-0.131735160946846,0.198604837059975,0.781546413898468,0.181780651211739,0.555102229118347
France,2018,6.592,6.66590356826782,10.5733518600464,0.921463072299957,73.8000030517578,0.816377222537994,-0.141567125916481,0.581775307655335,0.767313420772553,0.28245136141777,0.380547434091568
Gabon,2018,4.799,4.78300905227661,9.71831607818604,0.784827589988709,59.7000007629395,0.719135403633118,-0.217487514019012,0.822863459587097,0.640691637992859,0.417660981416702,0.311373710632324
Gambia,2018,4.516,4.92209911346436,7.37655353546143,0.68479996919632,55,0.71872878074646,,0.691069543361664,0.804012179374695,0.379207700490952,0.757543444633484
Georgia,2018,4.519,4.65909719467163,9.22910022735596,0.617218554019928,64.5,0.775144100189209,-0.219247594475746,0.754853785037994,0.572953462600708,0.243778914213181,0.300006181001663
Germany,2018,6.985,7.11836433410645,10.7309446334839,0.919763147830963,72.1999969482422,0.876887500286102,0.030199648812413,0.495673954486847,0.780280411243439,0.243214577436447,0.592990577220917
